Project Name;Ticket;Priority;Severity;Category;Status;Opening Date;Date of Resolution;Acknowledge SLA;Resolution SLA;Application;Environment;MD's;Problem;Country;Close Date;Closed Admin;SM Audit;
Farmacia Arrocha;0108381;P2;incident;Application;closed;2026-02-08;2026-02-13 11:58:05;0;906;XStore;PRD;0,13;49620;N/A;2026-02-17 09:02:48;Y;;
Farmacia Arrocha;0108396;P2;incident;Application;closed;2026-02-09;;0;0;XStore;PRD;0,00;;N/A;2026-02-17 09:02:48;Y;;
Farmacia Arrocha;0108417;P2;incident;Application;closed;2026-02-09;;0;201;XStore;PRD;0,06;;N/A;2026-02-19 09:02:45;Y;;
Farmacia Arrocha;0108517;P3;incident;Application;closed;2026-02-11;;0;45;XStore;PRD;0,13;;N/A;2026-02-19 09:02:46;Y;;
Farmacia Arrocha;0108544;P2;incident;Application;closed;2026-02-11;2026-02-24 22:58:27;0;3277;XStore;PRD;0,34;108896;N/A;2026-03-04 09:03:41;Y;;
Farmacia Arrocha;0108545;P2;incident;Application;closed;2026-02-11;;0;14355;XStore;PRD;0,00;;N/A;2026-03-28 09:03:48;Y;;
Farmacia Arrocha;0108550;P2;incident;Application;closed;2026-02-11;;0;1086;XStore;PRD;0,03;;N/A;2026-03-04 09:03:42;Y;;
Farmacia Arrocha;0108565;P2;incident;Application;closed;2026-02-11;;0;327;XStore;PRD;0,06;;N/A;2026-02-20 09:02:47;Y;;
Farmacia Arrocha;0108619;P2;user_request;Application;closed;2026-02-12;;0;1034;XStore;PRD;0,13;;N/A;2026-03-20 09:03:41;Y;;
Farmacia Arrocha;0108634;P2;incident;Integration;closed;2026-02-13;;0;351;XStore;PRD;0,19;;N/A;2026-03-04 09:03:42;Y;;
Farmacia Arrocha;0108675;P2;user_request;Application;closed;2026-02-13;;0;720;XStore;QA;0,09;;N/A;2026-04-04 09:04:51;Y;;
Farmacia Arrocha;0108689;P2;user_request;Application;closed;2026-02-13;2026-05-08 13:48:56;0;579;XStore;QA;0,00;;N/A;2026-05-08 13:05:28;N;;
Farmacia Arrocha;0108701;P1;incident;Application;closed;2026-02-14;2026-02-16 15:58:14;0;3573;XStore;PRD;0,06;108778;N/A;2026-02-24 09:02:42;Y;;
Farmacia Arrocha;0108721;P1;incident;Application;closed;2026-02-15;2026-02-15 04:28:45;0;18;XStore;PRD;0,06;71964;N/A;2026-02-23 09:02:43;Y;;
Farmacia Arrocha;0108727;P1;incident;Application;closed;2026-02-16;2026-02-16 15:08:58;0;670;XStore;PRD;0,16;108773;N/A;2026-02-24 09:02:43;Y;;
Farmacia Arrocha;0108773;P1;problem;Application;closed;2026-02-16;2026-02-18 01:46:18;0;2079;XStore;PRD;0,00;;N/A;2026-04-04 09:04:19;N;;
Farmacia Arrocha;0108778;P1;problem;Application;closed;2026-02-16;2026-02-16 15:58:41;0;2;XStore;PRD;0,00;;N/A;2026-04-04 09:04:10;N;;
Farmacia Arrocha;0108896;P2;problem;Application;resolved;2026-02-18;2026-04-14 18:46:58;0;;XStore;PRD;0,13;;N/A;;N;;
Farmacia Arrocha;0108931;P2;incident;Application;closed;2026-02-19;2026-02-19 17:26:06;0;176;XStore;PRD;0,16;108944;N/A;2026-02-26 13:02:48;N;;
